conductor,eddyLosses_W,coreLosses_VA,current_A,GroupCount_rmsResults,iSecAbs_A_RMS,GroupCount_tempTable,bAvgMagnitude_T_RMS,GroupCount_rmsResults_1,hAvgMagnitude_A_m_RMS,GroupCount_tempTable_1,storedEnergy_J_RMS
L2,21616.3657500802,-562598.974075+1852.2104645644i,4900,1,5.0890871269222e+15,1,4.20554236738642e+16,1,0.147638257570191,1,22.393384508686
L2,21616.3657500802,-585801.11217416+1926.28592019139i,5000,1,5.19297484546696e+15,1,4.37899730461564e+16,1,0.0813824753287671,1,22.393384508686
L3,21616.3657500801,-69.7552411380551+0.00201524606705823i,4500,1,91308899.5958446,1,0.230695377078551,1,5.20905844883944e-16,1,5426.48482202869
L3,21616.3657500801,-72.8945943732102+0.00423728808080388i,4600,1,93325813.2384867,1,0.241064389033933,1,2.49530425759497e-16,1,5426.48482202869
L3,21616.3657500801,-76.0943071992419+0.00349540437032526i,4700,1,95366865.8792847,1,0.251655211184516,1,2.90038443433081e-17,1,5426.48482202869
L3,21616.3657500801,-79.3669557904936+0.00333953636241614i,4800,1,97380231.8782645,1,0.262474062283871,1,8.98802237012356e-17,1,5426.48482202869
L3,21616.3657500801,-82.7086918881327+0.00384787281324735i,4900,1,99415989.0410925,1,0.273535756898947,1,1.79611624352723e-16,1,5426.48482202869
L3,21616.3657500801,-86.1184355836566+0.00278421516615347i,5000,1,102315210.69249,1,0.286532680359619,1,2.95500207261171e-15,1,5426.48482202869
L3,21616.3657500801,1314428.10195238+7122.12564421206i,4500,1,1.2105211898333e+15,1,2.37774369010889e+15,1,0.00035180547031001,1,5426.48482202869
L3,21616.3657500801,1315648.46567282+7151.84717769375i,4500,1,1.21053017729146e+15,1,2.37777969014828e+15,1,0.0010411641495088,1,5426.48482202869
L3,21616.3657500801,1373523.01083055+7485.95071601195i,4600,1,1.23742906590242e+15,1,2.48462511942108e+15,1,0.000294593970342603,1,5426.48482202869
L3,21616.3657500801,1374767.63491239+7462.51646592353i,4600,1,1.23742772788501e+15,1,2.48462047037043e+15,1,0.00307116859529414,1,5426.48482202869
L3,21616.3657500801,1433872.78794275+7826.77611237765i,4700,1,1.26433025627055e+15,1,2.59382879854479e+15,1,0.000926443573040116,1,5426.48482202869
L3,21616.3657500801,1435207.18603486+7796.11663832348i,4700,1,1.26433080802986e+15,1,2.59383181843906e+15,1,0.000642304612323126,1,5426.48482202869
L3,21616.3657500801,1495505.38695069+8100.48936198856i,4800,1,1.29122560662481e+15,1,2.70535652030727e+15,1,0.0011094444145612,1,5426.48482202869
L3,21616.3657500801,1496919.68109255+8137.01590988124i,4800,1,1.29123400279174e+15,1,2.70539249192189e+15,1,2.96173184821074e-05,1,5426.48482202869
L3,21616.3657500801,1558506.67193927+8479.39487541298i,4900,1,1.31813125550386e+15,1,2.81927579058159e+15,1,0.00010730369006098,1,5426.48482202869
L3,21616.3657500801,1559937.08133668+8473.5542388686i,4900,1,1.31813015089572e+15,1,2.81927188710399e+15,1,0.000605442278761323,1,5426.48482202869
L3,21616.3657500801,1622759.66764485+8822.24726440656i,5000,1,1.34502431690076e+15,1,2.93548940973558e+15,1,0.000571809644138172,1,5426.48482202869
L3,21616.3657500801,1624264.26330668+8836.18070099967i,5000,1,1.3450339754576e+15,1,2.93553242465332e+15,1,0.000289519079498986,1,5426.48482202869
L3,21616.3657500801,4906939.95148226+26701.647256597i,4500,2,2.33856617512974e+15,2,8.87400373638479e+15,2,0.000622343163683013,2,5426.48482202869
L3,21616.3657500801,4908995.44807701+26673.3891579904i,4500,1,2.33855790722299e+15,1,8.87394218938066e+15,1,0.00504889390940829,1,5426.48482202869
L3,21616.3657500801,5127562.81549026+27886.8980697239i,4600,2,2.39053680001199e+15,2,9.27280542553596e+15,2,0.00368945039871197,2,5426.48482202869
L3,21616.3657500801,5129700.52966106+27921.9845885837i,4600,1,2.39054355831405e+15,1,9.27285911023273e+15,1,0.0189693363607803,1,5426.48482202869
L3,21616.3657500801,5352921.11976355+29170.5884656012i,4700,2,2.44252051328445e+15,2,9.68047614844478e+15,2,0.00404143469402377,2,5426.48482202869
