phaseAngle,conductor,iPrimA,iSecAbs_A,iSecReal_A,iSecImag_A,bAvgMagnitude_T,hAvgMagnitude_A_m,eddyLosses_W,coreLosses_VA,storedEnergy_J,mu_r_real,mu_r_imag,current_A
120,L3,-2400,2.49446951647578e+15,2.49446951635744e+15,24298496425.9596,1.00966369522424e+16,0.00710648929637928,21616.3657500801,5585409.38054664+30476.1797079993i,5426.48482202869,0,0,4800
135,L1,-3394.11254969543,3.52692707537895e+15,3.5269270752883e+15,-25287275967.7239,2.01888143493913e+16,-0.054315012256234,21616.3657500801,9531383.2873277-198796.130165629i,5426.48482202869,0,0,4800
135,L2,4636.44396618753,4.81536305403946e+15,-4.81536305342795e+15,76742122198.4381,3.7653063150927e+16,-0.165366911881266,21616.3657500802,-503602.969307896+1657.93090714597i,22.393384508686,0,0,4800
135,L3,-1242.3314164921,1.29123400279174e+15,1.29123400279173e+15,155933140.062739,2.70539249192189e+15,-2.96173184821074e-05,21616.3657500801,1496919.68109255+8137.01590988124i,5426.48482202869,0,0,4800
150,L1,-4156.92193816531,4.31961826677251e+15,4.31961826672545e+15,-20164471573.1583,3.02836755902314e+16,-0.0102689302462455,21616.3657500801,14297410.1069677-298133.068831565i,5426.48482202869,0,0,4800
150,L2,4156.92193816531,4.31734035649032e+15,-4.31734035593272e+15,69388103546.215,3.0267379012917e+16,0.0584450106348249,21616.3657500802,-404711.099576558+1330.36580620212i,22.393384508686,0,0,4800
150,L3,0,97380231.8782645,-97380213.428241,-59944.4308768373,0.262474062283871,8.98802237012356e-17,21616.3657500801,-79.3669557904936+0.00333953636241614i,5426.48482202869,0,0,4800
165,L1,-4636.44396618753,4.8178622255217e+15,4.81786222545567e+15,25223395151.8256,3.76726867878175e+16,0.0258401150557869,21616.3657500801,17786209.6159695-370494.157808038i,5426.48482202869,0,0,4800
165,L2,3394.11254969543,3.52507390863712e+15,-3.52507390805407e+15,64113677734.611,2.01780267868914e+16,-0.134717229958433,21616.3657500802,-269679.930110948+890.111642699083i,22.393384508686,0,0,4800
165,L3,1242.3314164921,1.29122560662481e+15,-1.29122560653367e+15,15341317963.7529,2.70535652030727e+15,-0.0011094444145612,21616.3657500801,1495505.38695069+8100.48936198856i,5426.48482202869,0,0,4800
180,L1,-4800,4.98781404918374e+15,4.98781404917521e+15,9223976388.63866,4.03773995764269e+16,0.00360438798372952,21616.3657500801,19063775.2902022-397243.132261653i,5426.48482202869,0,0,4800
180,L2,2400,2.49263637422656e+15,-2.49263637398017e+15,35047136127.3868,1.00892781817227e+16,0.0527545604618804,21616.3657500802,-134709.230347745+443.597722501822i,22.393384508686,0,0,4800
180,L3,2400,2.49445461603776e+15,-2.49445461601572e+15,-10484319046.0992,1.00965149646514e+16,-0.00844989983510648,21616.3657500801,5582960.47473523+30400.0788890911i,5426.48482202869,0,0,4800
0,L1,4900,5.09171917499254e+15,-5.09171917499225e+15,-1712652207.99951,4.20771894224699e+16,0.00246507194192507,21616.3657500801,19865985.524389-414027.769648308i,5426.48482202869,0,0,4900
